time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-01-06T13:31:07.130,40.3781667,-124.3246667,33.577,2.61,md,12,181,0.0982,0.14,nc,nc71336156,2017-01-21T17:18:47.130,Northern California,earthquake,1.26,1.69,0.18,30,reviewed,nc,nc
2010-01-07T23:24:15.430,40.4988333,-126.8675,4.622,3.09,md,23,297,1.928,0.3,nc,nc71336941,2017-01-21T17:30:35.235,off the coast of Northern California,earthquake,7.32,6.55,0.2,22,reviewed,nc,nc
2010-01-10T00:27:39.320,40.652,-124.6925,28.737,6.5,mw,51,220,0.3225,0.2,nc,nc71338066,2020-02-06T18:03:42.199,offshore Northern California,earthquake,0.55,1.31,,8,reviewed,nc,nc
2010-01-10T00:42:38.370,40.4203333,-124.8288333,17.72,3.46,ml,61,246,0.3784,0.15,nc,nc71338071,2017-01-21T17:53:58.373,offshore Northern California,earthquake,0.42,0.5,0.271,35,reviewed,nc,nc
2010-01-10T00:43:15.670,40.6203333,-124.752,28.289,3.71,ml,43,223,0.3468,0.12,nc,nc71338076,2017-01-21T17:54:06.160,offshore Northern California,earthquake,0.35,1.04,0.328,36,reviewed,nc,nc
2010-01-10T00:46:25.290,40.6228333,-124.7035,24.09,2.94,md,46,221,0.3153,0.24,nc,nc71338086,2017-01-21T17:54:14.680,offshore Northern California,earthquake,0.66,2.8,0.159,51,reviewed,nc,nc
2010-01-10T00:48:38.610,40.6786667,-124.5876667,23.44,3.32,ml,31,231,0.2784,0.11,nc,nc71338081,2017-01-21T17:54:28.710,offshore Northern California,earthquake,0.55,0.94,0.246,29,reviewed,nc,nc
2010-01-10T00:51:00.370,40.6505,-124.6453333,25.91,3.15,ml,36,241,0.2928,0.11,nc,nc71338091,2017-01-21T17:54:44.655,offshore Northern California,earthquake,0.4,1.03,0.201,18,reviewed,nc,nc
2010-01-10T00:52:10.660,40.5725,-124.7623333,25.31,2.71,md,24,247,0.3378,0.13,nc,nc71338106,2017-01-21T17:54:50.645,offshore Northern California,earthquake,0.74,2.94,0.239,30,reviewed,nc,nc
2010-01-10T01:06:17.060,40.5905,-124.7698333,24.28,3.39,ml,61,238,0.3486,0.16,nc,nc71338121,2017-01-21T17:55:15.468,offshore Northern California,earthquake,0.36,2.99,0.213,30,reviewed,nc,nc
2010-01-10T01:16:28.350,40.589,-124.7813333,23.98,2.67,md,22,248,0.3568,0.16,nc,nc71338131,2017-01-21T17:55:20.301,offshore Northern California,earthquake,0.8,7.74,0.192,21,reviewed,nc,nc
2010-01-10T01:19:17.940,40.5175,-124.8396667,23.57,2.74,md,38,243,0.3847,0.15,nc,nc71338136,2017-01-21T17:55:25.667,offshore Northern California,earthquake,0.52,5.79,0.225,38,reviewed,nc,nc
2010-01-10T01:48:47.120,40.6853333,-124.6,21.85,2.96,ml,61,216,0.2896,0.18,nc,nc71338156,2018-07-12T14:09:07.770,"30km WNW of Ferndale, California",earthquake,0.57,0.72,0.248,17,reviewed,nc,nc
2010-01-10T02:11:50.780,40.5478333,-124.7555,24.56,2.69,md,19,247,0.3261,0.17,nc,nc71338166,2017-01-21T17:56:05.109,offshore Northern California,earthquake,0.9,5.32,0.206,21,reviewed,nc,nc
2010-01-10T02:21:39.240,40.6086667,-124.7828333,20.38,4.41,mw,82,218,0.364,0.14,nc,nc71338171,2017-03-17T21:27:27.125,offshore Northern California,earthquake,0.37,0.57,,4,reviewed,nc,nc
2010-01-10T02:32:49.470,40.3505,-124.6813333,20.47,2.79,ml,30,234,0.291,0.11,nc,nc71338186,2017-01-21T17:56:36.070,offshore Northern California,earthquake,0.71,0.45,0.154,13,reviewed,nc,nc
2010-01-10T03:07:01.840,40.6213333,-124.699,25.16,3.97,mw,42,235,0.3117,0.12,nc,nc71338196,2017-03-17T21:28:21.509,offshore Northern California,earthquake,0.55,1.67,,4,reviewed,nc,nc
