time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-01-07T23:24:15.430,40.4988333,-126.8675,4.622,3.09,md,23,297,1.928,0.3,nc,nc71336941,2017-01-21T17:30:35.235,off the coast of Northern California,earthquake,7.32,6.55,0.2,22,reviewed,nc,nc
2010-03-06T02:23:12.360,40.6886667,-127.0021667,6.172,2.96,md,17,303,2.039,0.14,nc,nc71359280,2017-01-22T00:51:08.439,off the coast of Northern California,earthquake,8.12,7.76,0.157,19,reviewed,nc,nc
2010-03-22T03:46:51.350,41.8518333,-126.2666667,23.52,4.13,mw,28,277,1.56,0.28,nc,nc71366850,2017-01-22T03:02:54.975,off the coast of Northern California,earthquake,1.98,21.31,,3,reviewed,nc,nc
2010-03-22T06:00:13.120,41.806,-126.223,23.8,3.2,md,9,294.9,,,us,usp000h9ud,2017-01-22T03:03:09.558,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2010-03-22T08:11:48.560,41.851,-126.071,10,3.9,mwr,35,215,,1.18,us,usp000h9uk,2017-01-22T03:04:11.800,off the coast of Northern California,earthquake,,,,,reviewed,us,brk
2010-04-15T10:10:33.710,40.6336667,-126.6478333,9.622,2.87,md,13,303,1.766,0.25,nc,nc71382486,2017-01-22T05:57:48.056,off the coast of Northern California,earthquake,14.03,31.61,0.157,14,reviewed,nc,nc
2010-05-13T05:35:12.200,42.263,-126.499,10,5.3,mwc,273,106.4,,1.22,us,usp000hcpr,2016-11-10T02:28:09.924,off the coast of Oregon,earthquake,,,,,reviewed,us,gcmt
2010-05-14T01:01:18.140,42.317,-126.317,10,4,mb,63,184.3,,1.24,us,usp000hcqu,2016-07-14T01:18:10.510,off the coast of Oregon,earthquake,,,,14,reviewed,us,us
2010-05-14T19:10:25.380,42.24,-126.454,10,4,mb,88,171.6,,1.4,us,usp000hcrv,2014-11-07T01:41:29.324,off the coast of Oregon,earthquake,,,,12,reviewed,us,us
2010-05-14T19:33:03.560,42.248,-126.394,10,4,mb,102,206.1,,1.34,us,usp000hcrw,2016-07-14T01:18:17.390,off the coast of Oregon,earthquake,,,,15,reviewed,us,us
2010-05-15T08:20:37.630,41.4596667,-126.9626667,8.99,3.36,md,8,308,2.177,0.13,nc,nc71398406,2017-01-22T09:28:41.180,off the coast of Northern California,earthquake,1.53,31.61,0.28,23,reviewed,nc,nc
2010-06-19T07:37:54.720,41.8521667,-126.3281667,4.03,3.21,md,26,279,1.605,0.18,nc,nc71417296,2017-01-22T13:44:52.389,off the coast of Northern California,earthquake,3.3,16.48,0.19,17,reviewed,nc,nc
2010-08-16T16:19:11.000,41.346,-126.662,23.2,3.3,md,7,318.8,,,us,usp000hja8,2017-01-22T20:48:42.365,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2010-08-17T02:15:18.340,40.57,-127.202,10,2.8,ml,21,263.4,,1.15,us,usp000hjat,2017-01-22T20:51:58.193,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2010-09-18T09:35:01.810,41.3083333,-126.2538333,5.053,2.88,md,14,293,1.75,0.22,nc,nc71457005,2017-01-23T00:24:49.044,off the coast of Northern California,earthquake,9.24,19.91,0.189,6,reviewed,nc,nc
2010-09-20T15:20:14.000,41.856,-126.33,5,3.6,ml,28,256.3,,,us,usp000hkzv,2017-01-23T00:43:09.918,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2010-09-21T18:44:43.250,40.502,-126.929,4.622,3.31,ml,34,304,1.975,0.25,nc,nc71458475,2017-01-23T00:50:34.714,off the coast of Northern California,earthquake,7.44,31.61,0.205,8,reviewed,nc,nc
2010-10-13T10:50:23.890,41.936,-127.038,10,4.8,mwc,113,128.8,,1.24,us,usp000hn20,2017-01-23T03:15:30.400,off the coast of Northern California,earthquake,,,,,reviewed,us,gcmt
2010-11-27T21:02:54.020,40.876,-127.319,10,4.2,mb,45,196.5,,1.02,us,usp000hq7m,2017-01-23T08:19:31.848,off the coast of Northern California,earthquake,,,,5,reviewed,us,us
2011-02-21T16:59:55.000,41.175,-127.136,5,3.1,md,16,195.2,,,us,usp000huv9,2017-01-24T01:04:33.352,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2011-02-21T17:00:06.310,41.2323333,-126.8431667,4.92,3.22,md,10,313,2.254,0.06,nc,nc71048369,2017-01-24T01:04:38.306,off the coast of Northern California,earthquake,0.97,31.61,0.044,6,reviewed,nc,nc
2011-04-12T01:12:05.580,42.34,-126.887,10,4.2,mb,41,245.2,,1.26,us,usp000hzsu,2016-07-22T17:40:25.360,off the coast of Oregon,earthquake,,,,9,reviewed,us,us
2011-04-14T01:34:39.800,40.737,-126.402,10,4.4,mb,56,205.9,,0.93,us,usp000hzwx,2017-01-24T08:17:51.293,off the coast of Northern California,earthquake,,,,6,reviewed,us,us
2011-05-27T09:09:59.420,41.75,-126.219,10.9,3,ml,24,243,,,us,usp000j29e,2017-01-24T13:33:16.686,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2011-06-18T02:41:16.170,41.879,-126.831,10,4.2,mb,79,202.6,,1.33,us,usp000j3br,2017-01-24T16:26:51.049,off the coast of Northern California,earthquake,,,,21,reviewed,us,us
2011-06-18T10:49:11.370,41.88,-126.997,10,5.2,mwc,244,112.7,,1.3,us,usp000j3cc,2017-01-24T16:28:14.170,off the coast of Northern California,earthquake,,,,,reviewed,us,gcmt
2011-08-28T02:20:13.190,41.8121667,-127.0565,20.82,3.42,md,16,295,2.144,0.27,nc,nc71628745,2017-01-25T03:04:19.830,off the coast of Northern California,earthquake,7.92,12.79,0.203,36,reviewed,nc,nc
2011-09-14T00:13:44.620,40.5583333,-127.3873333,23.307,3.42,md,11,317,2.369,0.28,nc,nc71646141,2017-01-25T05:48:07.401,off the coast of Northern California,earthquake,3.23,31.61,0.21,19,reviewed,nc,nc
2011-09-18T13:33:25.810,40.68,-126.958,10,2.6,ml,15,270.5,,0.83,us,usp000j88e,2017-01-25T06:30:11.411,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2011-09-18T14:38:08.960,40.642,-127.29,10,2.8,ml,14,279,,1.09,us,usp000j88h,2014-11-07T01:45:55.175,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2011-11-22T01:02:22.090,42.165,-127.078,10,4.1,mb,34,203.9,,1.31,us,usp000jb84,2014-11-07T01:46:23.659,off the coast of Oregon,earthquake,,,,7,reviewed,us,us
2012-01-05T11:41:06.500,41.032,-127.178,5,3.2,md,50,205.4,,,us,usp000jd2r,2017-01-26T19:04:13.596,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2012-01-13T06:04:39.120,41.98,-126.822,10,2.8,ml,23,205.1,,0.91,us,usp000jde5,2014-11-07T01:46:46.781,off the coast of Northern California,earthquake,,,,,reviewed,us,us
2012-03-13T10:07:02.200,42.11,-126.819,10,4.2,mb,96,184.8,,1.27,us,usp000jg5y,2015-03-24T01:27:14.717,off the coast of Oregon,earthquake,,,,22,reviewed,us,us
2012-03-19T12:47:28.200,40.575,-126.262,5,2.9,md,29,237.3,,,us,usp000jgfs,2017-01-27T09:23:34.303,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
2012-05-04T21:55:49.920,42.0898333,-126.7095,3.99,2.51,md,18,288,1.851,0.45,uw,uw60399067,2016-07-22T18:11:17.430,off the coast of Oregon,earthquake,1.8,38.77,0.211,9,reviewed,uw,uw
2012-06-29T20:33:45.590,41.929,-126.136,23.6,3.1,md,20,258.8,,,us,usp000jncw,2017-01-28T03:07:19.909,off the coast of Northern California,earthquake,,,,,reviewed,nc,nc
